Fecha;Hora Movimiento HHMM;Clase de Vuelo;Clasificaci?n Vuelo;Tipo de Movimiento;Origen OACI;Destino OACI;Aerolinea Nombre;Aeronave;Aeronave APC
16/08/2014;16:50;Vuelo Privado con Matrícula Nacional;Cabotaje;Aterrizaje;SAVO;SADM;N/A;CESSNA C-150;A
30/07/2014;11:22;Regular;Cabotaje;Aterrizaje;SABE;SANT;Aerolíneas Argentinas;BOEING B-737;D
02/09/2017;13:49;Regular;Cabotaje;Aterrizaje;SAEZ;SAWC;Aerolíneas Argentinas;BOEING B-737;D
21/09/2014;10:23;Regular;Internacional;Aterrizaje;EDDF;SAEZ;Lufthansa;BOEING B-747;D
19/08/2015;10:09;Regular;Cabotaje;Aterrizaje;SABE;SANU;Austral Líneas Aéreas;EMBRAER E-190;C
23/05/2014;22:14;Regular;Cabotaje;Despegue;SARI;SAEZ;Aerolíneas Argentinas;BOEING B-737;C
03/06/2014;20:12;Regular;Cabotaje;Despegue;SABE;SAME;Austral Líneas Aéreas;EMBRAER E-190;C
16/10/2014;20:33;Regular;Cabotaje;Despegue;SASA;SABE;Aerolíneas Argentinas;BOEING B-737;C
03/01/2018;12:44;Vuelo Privado con Matrícula Nacional;Cabotaje;Despegue;SAZM;SADF;N/A;PIPER PA-46;A
06/03/2014;15:35;No Regular;Cabotaje;Despegue;SAME;AR-0346;N/A;LEARJET LJ-60;C
12/11/2016;23:17;Regular;Cabotaje;Aterrizaje;SABE;SANT;LATAM Argentina;AIRBUS A-320;C
25/02/2017;22:48;Regular;Internacional;Despegue;SACO;SCEL;LATAM;AIRBUS A-320;C
30/03/2017;13:11;Vuelo Privado con Matrícula Nacional;Cabotaje;Despegue;SADF;SADF;N/A;CESSNA C-150;A
03/12/2014;12:35;Vuelo Privado con Matrícula Nacional;Cabotaje;Despegue;SADM;SADM;N/A;AERO BOERO AB95;A
01/12/2016;19:50;Vuelo Privado con Matrícula Nacional;Cabotaje;Despegue;SAAR;AR-0280;N/A;CESSNA C-182;B
04/08/2017;11:45;Regular;Cabotaje;Aterrizaje;SAME;SABE;Aerolíneas Argentinas;BOEING B-737;D
08/01/2015;08:29;No Regular;Internacional;Aterrizaje;SUMU;SAEZ;LATAM Cargo Uruguay;FAIRCHILD SW3;B
31/12/2016;03:12;Regular;Internacional;Despegue;SAEZ;LEMD;Aerolíneas Argentinas;AIRBUS A-330;C
12/07/2015;18:17;Regular;Cabotaje;Aterrizaje;SAZS;SAAR;Aerolíneas Argentinas;BOEING B-737;D
